...1,created_on,expenses,floor,lat,lon,place_name,place_with_parent_names,price,price_aprox_local_currency,price_aprox_usd,price_per_m2,price_usd_per_m2,property_type,rooms,state_name,surface_covered_in_m2,surface_in_m2,surface_total_in_m2,title
31690,2015-03-30,NA,NA,-34.5663661,-58.525482,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,525000,5092867.5,525000,1738.41059603,866.336633663,house,NA,NA,302,NA,606,"Casa 606m² con Cochera en HUDSON 400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 525.000"
31698,2015-03-30,NA,NA,-34.4865076,-58.5442316,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,3500000,33952450,3500000,3500,1405.62248996,house,NA,NA,1000,NA,2490,"Casa 2490m² con Teléfono en ESNAOLA, Juan 400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 3.500.000"
31719,2015-03-30,NA,NA,-34.4812007,-58.5554116,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,120000,1164084,120000,2181.81818182,1090.90909091,house,NA,NA,55,NA,110,"Casa 110m² con Cochera en TOMKINSON, Intendente 3000, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 120.000"
31749,2015-03-30,NA,NA,-34.8244439,-58.2307623,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,650000,6305455,650000,1547.61904762,547.598989048,house,NA,NA,420,NA,1187,"Casa 1187m² con Teléfono en ZEBALLOS, Estanislao 1500, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 650.000"
31750,2015-03-30,NA,NA,-34.4751968,-58.5432005,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,149500,1450254.65,149500,1150,747.5,house,NA,NA,130,NA,200,"Casa 200m² con 2 Plantas en ONELLI, Clemente 1300, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 149.500"
31751,2015-03-30,NA,NA,-34.4751968,-58.5432005,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,155000,1503608.5,155000,1192.30769231,775,house,NA,NA,130,NA,200,"Casa 200m² con Dependencias en ONELLI, Clemente 1300, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 155.000"
31753,2015-03-30,NA,NA,-34.479546,-58.5704814,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,297000,2881107.9,297000,931.034482759,1414.28571429,house,NA,NA,319,NA,210,"Casa 210m² con Teléfono en CANALEJAS 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 297.000"
31775,2015-03-30,NA,NA,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,288000,2793801.6,288000,1280,800,house,NA,NA,225,NA,360,"Casa 360m² con Cochera en 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 288.000"
31789,2015-03-30,NA,NA,-34.4735013,-58.5600302,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,240000,2328168,240000,1256.54450262,1090.90909091,house,NA,NA,191,NA,220,"Casa 220m² con Cochera en LONARDI, Tte. Gral. 3200, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 240.000"
31792,2015-03-30,NA,NA,-34.4825545,-58.5453285,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,700000,6790490,700000,1063.82978723,448.717948718,house,NA,NA,658,NA,1560,"Casa 1560m² con Cochera en DON BOSCO 2400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 700.000"
31807,2015-03-30,NA,NA,-34.575361,-58.6459708,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,790000,7663553,790000,1545.9882583200001,800.40526849,house,NA,NA,511,NA,987,"Casa 987m² con Cochera en ROCA 2600, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 790.000"
31833,2015-03-30,NA,NA,-34.4760091,-58.5526342,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,375000,3637762.5,375000,1500,354.777672658,house,NA,NA,250,NA,1057,"Casa 1057m² con Dependencias en NEYER, Int. 2600, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 375.000"
31869,2015-03-30,NA,NA,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,770000,7469539,770000,1925,385,house,NA,NA,400,NA,2000,"Casa 2000m² con Teléfono en 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 770.000"
