duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
221133,NA,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-6,0.169,0.927,97.954,"pop, R&B"
191040,FALSE,2000,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-6,0.0584,0.882,165.09,pop
348893,FALSE,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,"hip hop, R&B"
347106,FALSE,1999,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-6,0.216,0.741,165.98,"pop, latin"
256133,FALSE,2000,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-6,0.375,0.527,95.468,"pop, rock"
219093,FALSE,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-6,0.09,0.631,144.673,"pop, R&B"
230093,FALSE,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,pop
274800,FALSE,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,8.9e-4,0.117,0.141,138.852,"pop, rock, metal"
207506,FALSE,2000,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-5,0.269,0.768,126.988,"pop, Folk/Acoustic"
296693,FALSE,2000,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-5,0.431,0.599,136.086,"pop, R&B"
241666,TRUE,1999,71,0.625,0.85,4,-3.904,1,0.0495,0.346,2.33e-4,0.174,0.633,94.661,set()
203333,NA,1999,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-5,0.246,0.779,118.903,pop
316733,FALSE,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15e-5,1.4e-4,0.206,0.431,155.827,"pop, rock, metal"
206226,FALSE,2000,65,0.765,0.791,8,-5.707,1,0.0317,0.262,1.54e-4,0.0669,0.966,95.026,pop
287000,TRUE,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831,"hip hop, pop, R&B"
227600,FALSE,2000,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,"hip hop, pop"
254026,NA,2001,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,"pop, R&B"
404106,TRUE,2000,83,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-6,0.518,0.507,80.063,hip hop
230640,FALSE,2001,73,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,"pop, Dance/Electronic"
264893,FALSE,2001,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49e-5,0.665,0.653,109.919,pop
243160,NA,2000,1,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-6,0.273,0.607,89.661,"hip hop, pop, latin"
196160,FALSE,2001,74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-5,0.203,0.871,107.657,"pop, latin"
165853,FALSE,2001,78,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,"rock, pop"
259933,FALSE,2001,77,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,pop
254640,FALSE,2001,62,0.637,0.929,5,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482,pop
250706,FALSE,2001,71,0.667,0.773,5,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976,"pop, R&B"
203600,FALSE,2001,69,0.847,0.843,5,-3.579,0,0.106,0.415,1.34e-4,0.107,0.963,110.027,pop
197826,FALSE,2001,62,0.689,0.894,6,-6.342,0,0.0672,0.133,4.72e-5,0.0681,0.709,123.971,"pop, Dance/Electronic"
252986,TRUE,2001,57,0.622,0.669,9,-8.419,1,0.329,0.0266,2.97e-6,0.152,0.57,93.839,"hip hop, pop, R&B"
265866,FALSE,2001,76,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-5,0.0863,0.969,92.887,"pop, R&B"
222435,FALSE,2015,53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,"pop, Dance/Electronic"
213760,TRUE,2000,73,0.603,0.933,1,-3.358,1,0.171,0.00591,0,0.206,0.709,96.306,metal
220973,FALSE,2001,65,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93e-5,0.11,0.38,140.01,pop
253586,FALSE,2006,54,0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943,Dance/Electronic
241000,FALSE,2001,54,0.668,0.772,9,-5.4,0,0.0307,0.123,0,0.341,0.911,118.011,pop
264933,FALSE,2001,57,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01e-6,0.0736,0.233,97.988,"hip hop, pop, R&B"
223546,FALSE,2001,63,0.721,0.737,5,-2.734,0,0.0324,0.121,0,0.165,0.931,97.996,pop
194026,FALSE,2001,43,0.657,0.965,8,-2.771,0,0.0556,0.0285,8.84e-5,0.0552,0.669,93.013,"pop, R&B"
216733,FALSE,1999,71,0.736,0.811,9,-4.17,0,0.081,0.00132,1.42e-4,0.107,0.609,103.502,"rock, metal"
337733,FALSE,2001,64,0.854,0.673,4,-3.132,0,0.185,0.038,2.27e-4,0.255,0.955,95,"pop, R&B"
230133,NA,2001,73,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,"hip hop, pop, R&B"
246160,FALSE,2001,0,0.707,0.869,5,-4.525,0,0.0481,0.104,1.21e-4,0.0813,0.621,99.825,"hip hop, pop, R&B"
271626,FALSE,2002,50,0.7,0.787,6,-5.176,0,0.0327,0.00666,3.68e-5,0.0724,0.556,102.043,"hip hop, pop, R&B"
223840,FALSE,2001,78,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,"rock, metal"
320357,FALSE,2001,76,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,"hip hop, Dance/Electronic"
270506,TRUE,2000,82,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,"hip hop, pop"
213346,FALSE,2001,50,0.682,0.917,11,-5.459,0,0.0318,0.15,0.0676,0.34,0.79,137.029,"pop, Dance/Electronic"
229173,FALSE,2001,42,0.721,0.79,1,-4.125,1,0.124,0.183,0,0.1,0.821,103.141,"pop, R&B"
218360,FALSE,1999,73,0.725,0.583,1,-9.942,0,0.0427,0.3,2.38e-4,0.0665,0.762,79.984,pop
213026,FALSE,2000,57,0.767,0.759,6,-6.516,1,0.117,0.0513,0,0.31,0.677,89.989,"pop, R&B"
256240,FALSE,2001,69,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,"rock, metal"
211493,TRUE,2001,57,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,"hip hop, pop, R&B"
211120,TRUE,2001,68,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,"hip hop, pop, R&B"
252706,FALSE,2008,52,0.635,0.854,10,-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100.851,"pop, latin"
231213,FALSE,2001,60,0.872,0.868,10,-3.036,0,0.12,0.153,2.26e-5,0.843,0.822,105.005,"hip hop, pop, R&B"
452906,FALSE,2000,50,0.61,0.82,3,-10.029,1,0.0312,2.11e-4,0.146,0.138,0.45,127.993,Dance/Electronic
340920,TRUE,2001,74,0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,hip hop
266506,TRUE,2001,57,0.757,0.706,8,-6.665,1,0.203,0.0267,0,0.197,0.375,96.976,hip hop
285386,FALSE,2000,48,0.676,0.601,0,-4.905,1,0.0297,0.103,0,0.147,0.206,119.94,"pop, R&B"
326240,FALSE,2001,61,0.653,0.837,6,-6.818,0,0.124,0.534,7.12e-5,0.0784,0.64,97.914,"pop, R&B"
221226,FALSE,2001,67,0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54e-6,0.473,0.685,97.577,"hip hop, pop, R&B"
295400,FALSE,2001,65,0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,pop
284666,FALSE,2001,55,0.612,0.579,1,-6.417,0,0.0553,0.285,0,0.0556,0.716,86.31,"hip hop, pop, R&B"
193093,FALSE,2001,63,0.677,0.52,4,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862,"hip hop, pop, R&B"
218626,FALSE,2001,47,0.631,0.821,4,-7.853,0,0.0867,0.00876,2.47e-4,0.293,0.547,118.007,pop
213133,FALSE,2001,54,0.464,0.922,0,-8.399,1,0.0638,0.124,0.227,0.0546,0.695,129.078,Dance/Electronic
209266,FALSE,2001,75,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,"rock, metal"
223133,TRUE,2001,57,0.897,0.466,10,-9.053,0,0.203,0.187,1.35e-6,0.0757,0.884,100.01,"hip hop, pop"
304506,TRUE,2001,68,0.78,0.634,1,-5.941,1,0.16,0.0199,2.98e-5,0.29,0.754,125.25,"hip hop, pop, rock"
210813,FALSE,2016,26,0.888,0.8,5,-3.944,0,0.0946,0.0901,2.12e-5,0.229,0.866,106.957,"hip hop, pop, R&B"
280973,FALSE,2000,53,0.699,0.618,7,-7.338,1,0.0594,0.0502,9.25e-4,0.0914,0.679,99.965,pop
207560,FALSE,2001,58,0.582,0.707,10,-4.487,1,0.0319,0.0822,0,0.0467,0.701,78.375,pop
195506,FALSE,2001,58,0.578,0.581,0,-6.867,1,0.0318,0.0658,0.0042,0.0674,0.408,83.293,pop
232573,FALSE,2001,67,0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,"hip hop, pop, R&B"
197760,TRUE,2001,68,0.802,0.341,7,-8.56,1,0.488,0.169,0,0.0783,0.849,166.01,hip hop
233626,FALSE,2001,63,0.822,0.672,7,-6.133,1,0.0329,0.0285,0,0.213,0.91,117.033,pop
257200,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
276106,FALSE,2000,1,0.587,0.679,2,-6.26,1,0.0927,0.0839,3.16e-4,0.413,0.65,180.184,"hip hop, pop, latin"
234400,FALSE,2001,61,0.739,0.679,0,-5.079,1,0.0373,4.24e-4,0.0187,0.389,0.786,127.487,Dance/Electronic
207400,FALSE,2004,46,0.795,0.919,9,-3.07,0,0.0835,0.37,0.00863,0.189,0.96,134.079,"pop, Dance/Electronic"
246720,FALSE,2000,56,0.751,0.568,5,-5.431,0,0.0872,0.136,0,0.0288,0.646,128.002,"hip hop, pop, R&B"
201533,FALSE,2001,60,0.585,0.702,0,-5.734,1,0.0325,0.538,0,0.216,0.51,139.909,pop
218546,FALSE,2000,69,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,"World/Traditional, Folk/Acoustic"
222120,FALSE,2001,60,0.321,0.511,8,-7.77,1,0.0306,0.513,0,0.127,0.17,128.98,"pop, country"
212973,FALSE,2000,58,0.541,0.899,1,-6.261,1,0.0633,0.0178,2.95e-6,0.286,0.829,106.676,"pop, rock"
207906,FALSE,2001,64,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-6,0.152,0.637,103.376,"pop, R&B"
197360,FALSE,2000,53,0.573,0.665,8,-5.081,1,0.0239,0.108,2.09e-6,0.095,0.347,105.006,"pop, Dance/Electronic"
295826,FALSE,2001,56,0.697,0.925,3,-4.209,0,0.216,0.0614,0,0.095,0.678,96.951,"pop, R&B"
231666,FALSE,2000,68,0.55,0.804,2,-5.218,1,0.0271,0.0148,4.33e-5,0.105,0.789,79.166,"rock, pop"
162333,FALSE,2002,46,0.836,0.762,7,-5.044,0,0.0598,0.0826,5.48e-5,0.102,0.941,133.592,pop
231166,FALSE,2018,0,0.676,0.715,6,-6.854,1,0.0287,0.00284,0.0746,0.0685,0.275,129.006,Dance/Electronic
329933,FALSE,2001,65,0.753,0.934,2,-3.011,1,0.0736,0.0174,0.065,0.128,0.73,113.525,"pop, R&B"
185013,NA,2001,66,0.747,0.706,4,-4.653,1,0.0413,0.0844,0.00355,0.174,0.567,94.019,pop
257066,FALSE,2001,64,0.874,0.768,6,-4.086,1,0.311,0.0554,0,0.041,0.636,106.095,"hip hop, pop, R&B"
221133,FALSE,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-6,0.169,0.927,97.954,"pop, R&B"
217120,FALSE,2001,54,0.847,0.877,2,-5.424,1,0.0493,0.124,0,0.148,0.764,131.044,Dance/Electronic
262133,TRUE,2001,66,0.708,0.587,11,-7.93,0,0.151,0.273,0,0.0718,0.554,83.46,"hip hop, pop, R&B"
304666,NA,2000,0,0.569,0.385,1,-9.919,0,0.0499,0.342,0,0.0876,0.339,99.738,"pop, R&B"
302826,TRUE,2001,51,0.607,0.637,1,-11.072,1,0.241,0.0191,0,0.124,0.818,137.03,Dance/Electronic
302760,FALSE,2001,48,0.469,0.316,10,-8.106,1,0.0265,0.504,6.04e-6,0.0919,0.199,77.967,"pop, rock"
217493,FALSE,2001,0,0.713,0.829,2,-4.171,1,0.0491,0.00769,0.00203,0.139,0.844,126.853,"pop, Dance/Electronic"
300933,TRUE,2000,54,0.623,0.896,0,-4.719,1,0.247,0.035,0,0.0941,0.613,95.158,"hip hop, pop"
219093,FALSE,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-6,0.09,0.631,144.673,"pop, R&B"
291781,TRUE,2000,75,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-6,0.244,0.722,101.875,"hip hop, pop, R&B"
254400,TRUE,2001,59,0.933,0.561,11,-5.961,1,0.122,0.0275,0,0.102,0.586,139.976,"hip hop, pop"
228800,FALSE,2001,68,0.33,0.905,4,-5.047,1,0.0497,2.33e-4,8.14e-6,0.0712,0.259,163.142,"rock, pop"
240626,TRUE,2001,63,0.618,0.844,1,-4.051,0,0.342,0.0178,1.26e-4,0.0634,0.697,84.411,hip hop
196986,FALSE,2001,69,0.51,0.48,11,-6.567,1,0.0452,0.503,0,0.106,0.496,182.862,"pop, R&B"
257426,TRUE,2000,56,0.743,0.894,8,-6.886,1,0.0349,0.0755,0.00283,0.367,0.77,95.9,rock
262773,FALSE,2019,30,0.68,0.644,0,-4.507,1,0.0258,0.084,0,0.549,0.484,116.097,"pop, R&B"
264706,TRUE,2001,64,0.509,0.774,6,-4.054,1,0.0338,0.00189,5.49e-4,0.143,0.0824,116.529,"rock, metal"
263440,FALSE,2000,56,0.721,0.723,2,-7.08,0,0.0631,0.102,4.4e-6,0.0651,0.761,88.933,"pop, R&B"
265533,FALSE,2001,65,0.562,0.594,3,-4.578,0,0.0558,0.318,0,0.311,0.423,62.876,"hip hop, pop, R&B"
292000,FALSE,2001,45,0.699,0.403,11,-8.564,0,0.0614,0.421,0,0.126,0.5,113.922,pop
216360,FALSE,2000,61,0.537,0.858,1,-4.903,1,0.0349,9.66e-4,0,0.0812,0.502,124.599,"pop, rock, metal"
289160,TRUE,2002,77,0.727,0.552,2,-8.074,0,0.14,0.227,1.64e-4,0.198,0.607,168.189,"hip hop, pop, R&B"
290320,TRUE,2002,87,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,hip hop
244506,FALSE,2002,78,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-6,0.3,0.427,77.987,pop
237493,FALSE,2002,75,0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,"Folk/Acoustic, pop"
208600,FALSE,2001,72,0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,pop
224066,FALSE,2001,64,0.616,0.597,8,-5.328,1,0.0415,0.691,0,0.104,0.362,165.508,"pop, latin"
302720,FALSE,2001,27,0.729,0.731,4,-4.822,1,0.0684,0.232,1.57e-6,0.391,0.839,138.202,"rock, pop"
226440,TRUE,2002,58,0.701,0.677,11,-6.591,0,0.147,0.0737,1.62e-4,0.187,0.367,99.271,"pop, R&B"
324306,TRUE,2002,68,0.648,0.759,6,-4.315,1,0.306,0.0142,0,0.648,0.518,85.996,"hip hop, pop"
297786,TRUE,2002,85,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,hip hop
285586,FALSE,2004,69,0.713,0.471,1,-7.392,0,0.483,0.421,0,0.0308,0.779,199.764,"hip hop, pop"
222546,FALSE,2001,60,0.955,0.839,3,-3.399,0,0.127,0.0934,1.75e-4,0.099,0.825,108.955,"hip hop, pop, R&B"
276360,FALSE,2003,53,0.792,0.797,0,-5.166,0,0.0901,0.062,0.00325,0.0896,0.491,123.993,pop
